MANDT;MATNR;MTART;MEINS;BRGEW;NTGEW;GEWEI;MANDT_1;MATNR_1;STPRS;BKLAS;MANDT_2;MATNR_2;SPRAS;MAKTX;MAKTG
400.000000;MZ-PKG-A103;VERP;ST;15.000;15.000;KG;null;null;null;null;400.000000;MZ-PKG-A103;E;EWM US Pallet with SSCC generation;EWM US PALLET WITH SSCC GENERATION
400.000000;829;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;829;E;handle_bar;HANDLE_BAR
400.000000;MDQ_ADP__0026;HAWA;ST;4.300.000;4.200.000;KG;null;null;null;null;400.000000;MDQ_ADP__0026;E;MDQ_ADP__0026;MDQ_ADP__0026
400.000000;MZ-PKG-A104;VERP;ST;15.000;15.000;KG;null;null;null;null;400.000000;MZ-PKG-A104;E;EWM Pallet;EWM PALLET
400.000000;MDQ_ADP__0027;HAWA;ST;4.300.000;4.200.000;KG;null;null;null;null;400.000000;MDQ_ADP__0027;E;MDQ_ADP__0027;MDQ_ADP__0027
400.000000;796;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;796;E;swingarm_axle_end_left;SWINGARM_AXLE_END_LEFT
400.000000;MZ-PKG-A105;VERP;ST;0.000;0.000;KG;null;null;null;null;400.000000;MZ-PKG-A105;E;EWM Default Storage Container / Box;EWM DEFAULT STORAGE CONTAINER / BOX
400.000000;797;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;797;E;swingarm_axle_end_right;SWINGARM_AXLE_END_RIGHT
400.000000;MDQ_ADP__0028;HAWA;ST;4.300.000;4.200.000;KG;null;null;null;null;400.000000;MDQ_ADP__0028;E;MDQ_ADP__0028;MDQ_ADP__0028
400.000000;MZ-PKG-A106;VERP;ST;0.000;0.000;KG;null;null;null;null;400.000000;MZ-PKG-A106;E;EWM Default Wire Basket Trolley;EWM DEFAULT WIRE BASKET TROLLEY
400.000000;798;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;798;E;swingarm_bushing;SWINGARM_BUSHING
400.000000;MDQ_ADP__0029;HAWA;ST;4.300.000;4.200.000;KG;null;null;null;null;400.000000;MDQ_ADP__0029;E;MDQ_ADP__0029;MDQ_ADP__0029
400.000000;217;HALB;ST;3.000;3.000;KG;400.000000;217;135.98;7900;400.000000;217;E;Casings;CASINGS
400.000000;217;HALB;ST;3.000;3.000;KG;400.000000;217;135.98;7900;400.000000;217;E;Casings;CASINGS
400.000000;799;HALB;EA;0.000;0.000;null;null;null;null;null;400.000000;799;E;swingarm_crossbar;SWINGARM_CROSSBAR
400.000000;MDQ_ADP__0030;HAWA;ST;4.300.000;4.200.000;KG;null;null;null;null;400.000000;MDQ_ADP__0030;E;MDQ_ADP__0030;MDQ_ADP__0030
400.000000;216;ROH;ST;12.000;0.000;KG;400.000000;216;0.00;3000;400.000000;216;E;Slug for spiral casing;SLUG FOR SPIRAL CASING
400.000000;216;ROH;ST;12.000;0.000;KG;400.000000;216;05. Nov;3000;400.000000;216;E;Slug for spiral casing;SLUG FOR SPIRAL CASING
