MANDT;MATNR;SPRAS;MAKTX;MAKTG
400;MDQ_DEMO_0006;E;MDQ_DEMO_0006;MDQ_DEMO_0006
400;MDQ_DEMO_0007;E;MDQ_DEMO_0007;MDQ_DEMO_0007
400;MZ-RM-R200-01;E;BKR-200 Frame;BKR-200 FRAME
400;2423;E;Scanner Lock;SCANNER LOCK
400;2424;E;Photosensor;PHOTOSENSOR
400;2425;E;Top Cover Set 6170;TOP COVER SET 6170
400;2426;E;ADF body assmbly;ADF BODY ASSMBLY
400;2427;E;ADF body;ADF BODY
400;MZ-TG-E104;E;eBike Battery;EBIKE BATTERY
400;2428;E;ADF 1;ADF 1
400;2429;E;ADF 2;ADF 2
400;2430;E;ADF 9;ADF 9
400;2431;E;ADF axis1;ADF AXIS1
400;2432;E;ADF axis1 rod;ADF AXIS1 ROD
400;2433;E;ADF axis2;ADF AXIS2
400;2434;E;ADF axis2-rod;ADF AXIS2-ROD
400;2435;E;ADF 4;ADF 4
800;RM120;E;RAW120\,PD\,QualityManaged;RAW120\,PD\,QUALITYMANAGED
400;2436;E;ADF 5;ADF 5
400;2438;E;ASF axis2 gear;ASF AXIS2 GEAR
400;MZ-SR-E104;E;Repair;REPAIR
400;MZ-RM-R200-02;E;BKR-200 Handle Bars;BKR-200 HANDLE BARS
400;MZ-SV-TV-1;E;Corp - Travel;CORP - TRAVEL
400;MZ-SV-PAY-1;E;Corp - Payroll;CORP - PAYROLL
400;MZ-SV-UT-1;E;Utilities;UTILITIES
400;MZ-SV-ADV-1;E;Advertising;ADVERTISING
400;MZ-HT-1021;E;Easy Hand V;EASY HAND V
400;MZ-SV-OS-1;E;Office Supplies;OFFICE SUPPLIES
400;MZ-HT-1022;E;Easy Hand VII;EASY HAND VII
400;MZ-SV-IT-1;E;IT Infrastructure;IT INFRASTRUCTURE
400;MZ-SV-LS-1;E;Lab Supplies;LAB SUPPLIES
400;CP1-RM-101;E;Raw Material 101;RAW MATERIAL 101
400;MZ-HT-1036;E;Flat Future;FLAT FUTURE
400;MZ-HT-1001;E;Notebook Basic 17;NOTEBOOK BASIC 17
400;MZ-SV-WC-1;E;Worker's Compensation;WORKER'S COMPENSATION
400;MZ-HT-1040;E;Laser  Pro Eco;LASER  PRO ECO
400;MZ-FG-500;E;deleted;DELETED
400;RM41;E;Raw Material 2;RAW MATERIAL 2
400;MR311128;E;Golden Corn Flakes\, 20oz;GOLDEN CORN FLAKES\, 20OZ
400;PP-RM13;E;Advanced e-bike seat mount screw;ADVANCED E-BIKE SEAT MOUNT SCREW
400;PP-RM14;E;Extreme e-bike seat spring;EXTREME E-BIKE SEAT SPRING
800;TG22;E;Trad.Good 22\,Reorder Point\,Batch-ExpD;TRAD.GOOD 22\,REORDER POINT\,BATCH-EXPD
400;TRANSITION_1_2;E;TRANSITION PRODUCT;TRANSITION PRODUCT
400;DS_PROD100;E;DS Finished Good 100;DS FINISHED GOOD 100
400;DS_PROD101;E;DS Finished Good 101;DS FINISHED GOOD 101
