MANDT;MATNR;MTART;MEINS;BRGEW;NTGEW;GEWEI
400;MZ-PKG-A103;VERP;ST;15.000;15.000;KG
400;829;HALB;EA;0.000;0.000;
400;MDQ_ADP__0026;HAWA;ST;4.300.000;4.200.000;KG
400;MZ-PKG-A104;VERP;ST;15.000;15.000;KG
400;MDQ_ADP__0027;HAWA;ST;4.300.000;4.200.000;KG
400;796;HALB;EA;0.000;0.000;
400;MZ-PKG-A105;VERP;ST;0.000;0.000;KG
400;797;HALB;EA;0.000;0.000;
400;MDQ_ADP__0028;HAWA;ST;4.300.000;4.200.000;KG
400;MZ-PKG-A106;VERP;ST;0.000;0.000;KG
400;798;HALB;EA;0.000;0.000;
400;MDQ_ADP__0029;HAWA;ST;4.300.000;4.200.000;KG
400;217;HALB;ST;3.000;3.000;KG
400;799;HALB;EA;0.000;0.000;
400;MDQ_ADP__0030;HAWA;ST;4.300.000;4.200.000;KG
400;216;ROH;ST;12.000;0.000;KG
400;800;HALB;EA;0.000;0.000;
400;MDQ_ADP__0031;HAWA;ST;4.300.000;4.200.000;KG
400;801;HALB;EA;0.000;0.000;
400;MDQ_ADP__0032;HAWA;ST;4.300.000;4.200.000;KG
400;CM_DI1-DEMO_BOM;FERT;ST;0.000;0.000;
400;802;HALB;EA;0.000;0.000;
400;MDQ_ADP__0033;HAWA;ST;4.300.000;4.200.000;KG
400;CM_DI1-DEMO1;HALB;ST;2.500;2.500;G
400;803;HALB;EA;0.000;0.000;
400;MDQ_ADP__0034;HAWA;ST;4.300.000;4.200.000;KG
400;CM_DI1-DEMO10;HALB;ST;2.500;2.500;G
400;804;HALB;EA;0.000;0.000;
400;MDQ_ADP__0035;HAWA;ST;4.300.000;4.200.000;KG
400;CM_DI1-DEMO11;HALB;ST;2.500;2.500;G
400;805;HALB;EA;0.000;0.000;
400;MDQ_ADP__0036;HAWA;ST;4.300.000;4.200.000;KG
400;CM_DI1-DEMO12;HALB;ST;2.500;2.500;G
400;806;HALB;EA;0.000;0.000;
