MANDT;MATNR;STPRS;BKLAS
400;DS_PROD01;1332.72;7920
400;DS_COMP01;309.43;7900
400;NS0001;1.00;YB01
400;FG129;32.00;7920
400;SG29;15.00;7900
400;FG233;21.00;7920
400;RM233-1;3.00;3000
400;RM233-2;3.00;3000
400;RM233-4;3.00;3000
400;RM234;Mar 50;3000
400;SG233;Apr 20;7900
400;ML_RM_005;160.00;3000
400;ML_RM_006;200.00;3000
400;ML_RM_008;250.00;3000
400;ML_RM_010;200.00;3000
400;ML_RM_012;240.00;3000
400;ML_RM_013;400.00;3000
400;ML_RM_014;412.00;3000
400;ML_RM_016;290.00;3000
400;MR411911;0.00;3100
400;ML_RM_018;280.00;3000
400;MR516122008;0.00;3100
400;ML_RM_020;220.00;3000
400;MR411911;0.00;3100
400;MR595159;0.00;3100
400;ML_RM_022;230.00;3000
400;MR411911;0.00;3100
400;ML_RM_023;300.00;3000
400;MR516112021;0.00;3100
400;MR411911;0.00;3100
400;ML_RM_024;320.00;3000
400;MRS311120;0.00;3100
400;TG11;14.00;3100
400;MR411911;0.00;3100
400;ML_RM_001;130.00;3000
400;MRS311120;0.00;3100
400;MR412113;0.00;3100
400;TG11;16.00;3100
400;ML_RM_002;120.00;3000
400;MRCV23002;0.00;3100
400;MR412113;0.00;3100
400;MR516120012;0.00;3100
400;ML_RM_003;110.00;3000
400;MRCV23002;0.00;3100
400;MR412113;0.00;3100
400;MR516122008;0.00;3100
400;ML_SG_016;6000.00;7900
400;MR411120;0.00;3100
400;MR412113;0.00;3100
400;MR516120023;0.00;3100
400;MR516120024;0.00;3100
400;ML_FG_0002;40000.00;7900
400;MR411121;0.00;3100
400;MR412113;0.00;3100
400;MR535159;0.00;3100
400;ML_SG_010;12000.00;7900
400;MR516120024;0.00;3100
400;MR411122;0.00;3100
400;MR412114;0.00;3100
400;ML_SG_015;6000.00;7900
400;MR700046;0.00;3100
400;MR411123;0.00;3100
400;MR412114;0.00;3100
400;ML_SG_011;8000.00;7900
400;MR516112010;0.00;3100
400;MR700046;0.00;3100
400;MR411124;0.00;3100
400;MR412114;0.00;3100
400;MR516101004;0.00;3100
400;ML_SG_012;5000.00;7900
400;MR516122006;0.00;3100
400;MR412114;0.00;3100
400;MR411125;0.00;3100
400;MR516101009;0.00;3100
400;ML_SG_013;8000.00;7900
400;MR516112019;0.00;3100
400;MR516101005;0.00;3100
400;MR516112019;0.00;3100
400;MR412114;0.00;3100
400;MR411126;0.00;3100
400;MR516122007;0.00;3100
400;MR516206009;0.00;3100
400;MR700045;0.00;3100
400;ML_SG_014;9000.00;7900
400;MR516101006;0.00;3100
400;MR412122;0.00;3100
400;MR516101001;0.00;3100
400;MR516101009;0.00;3100
400;MR411127;0.00;3100
400;MR516101012;0.00;3100
400;MR516101007;0.00;3100
400;ML_SG_017;1500.00;7900
400;MR516206010;0.00;3100
400;MR412122;0.00;3100
400;MR516218;0.00;3100
400;MR700045;0.00;3100
400;MR411128;0.00;3100
400;MR516122007;0.00;3100
400;MR516101008;0.00;3100
400;ML_SG_018;1800.00;7900
400;MR516206010;0.00;3100
400;MR412122;0.00;3100
400;MR516101009;0.00;3100
400;MR516218;0.00;3100
400;MR516147;0.00;3100
400;MR411129;0.00;3100
400;MR516101009;0.00;3100
400;ML_SG_019;1800.00;7900
400;MR412122;0.00;3100
400;MR516206010;0.00;3100
400;MR516122007;0.00;3100
400;MR700046;0.00;3100
400;MR516112009;0.00;3100
400;MR516130;0.00;3100
400;MR516101010;0.00;3100
400;ML_SG_020;1200.00;7900
400;MR412122;0.00;3100
400;MR516101010;0.00;3100
400;MR516163;0.00;3100
400;MR516206011;0.00;3100
400;MR516130;0.00;3100
400;ML_SG_021;800.00;7900
400;MR516101011;0.00;3100
400;MR516122008;0.00;3100
400;MR516101014;0.00;3100
400;MR700046;0.00;3100
400;MR412123;0.00;3100
400;MR516101010;0.00;3100
400;MR585159;0.00;3100
400;MR516206011;0.00;3100
400;ML_RM_031;250.00;3000
400;MR516131;0.00;3100
400;MR516112016;0.00;3100
400;MR412123;0.00;3100
400;MR700047;0.00;3100
400;MR516101010;0.00;3100
400;MR516101012;0.00;3100
400;MR516122008;0.00;3100
400;ML_RM_032;600.00;3000
400;MR516101019;0.00;3100
400;MR516131;0.00;3100
400;MR516206011;0.00;3100
400;MR412123;0.00;3100
400;MR700047;0.00;3100
400;MR516101011;0.00;3100
400;MR516101017;0.00;3100
400;ML_RM_033;300.00;3000
400;MR516133;0.00;3100
400;MR516112005;0.00;3100
400;MR516101011;0.00;3100
400;ML_RM_034;1000.00;3000
400;MR516101013;0.00;3100
400;MR412123;0.00;3100
400;MR516122008;0.00;3100
400;MR-MD-CD-ART1;0.00;3100
400;MR516133;0.00;3100
400;MR516101011;0.00;3100
400;MR516122009;0.00;3100
400;ML_RM_035;600.00;3000
400;MR516206012;0.00;3100
400;MR516101014;0.00;3100
400;MR516101008;0.00;3100
400;MR516122008;0.00;3100
400;MR412123;0.00;3100
400;ML_RM_036;800.00;3000
400;MR516134;0.00;3100
400;MR516101012;0.00;3100
400;MR516101021;0.00;3100
400;MR516101015;0.00;3100
400;MR516206012;0.00;3100
400;ML_RM_037;400.00;3000
400;MR516134;0.00;3100
400;MR516112023;0.00;3100
400;MR516219;0.00;3100
400;MR516101012;0.00;3100
400;MR516122009;0.00;3100
400;ML_RM_038;600.00;3000
400;MR412141;0.00;3100
400;MR516206012;0.00;3100
400;MR516101016;0.00;3100
400;MR516135;0.00;3100
400;MR516120009;0.00;3100
400;MR585159;0.00;3100
400;ML_RM_039;800.00;3000
400;MR516101012;0.00;3100
400;MR516122009;0.00;3100
400;MR700004;0.00;3100
400;MR412141;0.00;3100
400;ML_RM_040;1200.00;3000
400;MR516101009;0.00;3100
400;MR516101017;0.00;3100
400;MR-MD-CD-ART1;0.00;3100
400;MR585159;0.00;3100
400;MR516101013;0.00;3100
400;MR516135;0.00;3100
400;MR412141;0.00;3100
400;ML_RM_041;700.00;3000
400;MR516112020;0.00;3100
400;MR516101018;0.00;3100
400;MR516122009;0.00;3100
400;MR700004;0.00;3100
400;MR516122025;0.00;3100
400;MR516147;0.00;3100
400;MR516101013;0.00;3100
400;ML_RM_042;1200.00;3000
400;MR412141;0.00;3100
400;MR516101019;0.00;3100
400;MR516101008;0.00;3100
400;MR-MD-FT1-ART1;0.00;3100
400;MR516161;0.00;3100
400;MR516147;0.00;3100
400;ML_RM_043;900.00;3000
400;MR516101020;0.00;3100
400;MR412141;0.00;3100
400;MR516122017;0.00;3100
400;MR516122016;0.00;3100
400;MR516122009;0.00;3100
400;MR700004;0.00;3100
400;ML_RM_044;1300.00;3000
400;MR516148;0.00;3100
400;MR516101013;0.00;3100
400;MR-MD-FT1-ART1;0.00;3100
400;MR516101002;0.00;3100
400;MR412142;0.00;3100
400;MR516101012;0.00;3100
400;ML_RM_057;150.00;3000
400;MR700004;0.00;3100
400;MR516101021;0.00;3100
400;MR516122010;0.00;3100
400;MR516148;0.00;3100
400;MR516206006;0.00;3100
400;MR412142;0.00;3100
400;ML_RM_045;450.00;3000
400;MR516101014;0.00;3100
400;MR311351;0.00;3100
400;MR700018;0.00;3100
400;MR516122010;0.00;3100
400;MR-MD-FT2-ART1;0.00;3100
400;MR516149;0.00;3100
400;MR516206004;0.00;3100
400;MR516101022;0.00;3100
400;MR412142;0.00;3100
400;ML_RM_046;600.00;3000
400;MR516112015;0.00;3100
400;MR700018;0.00;3100
400;MR516122010;0.00;3100
400;MR516149;0.00;3100
400;MR516112006;0.00;3100
400;MR516101014;0.00;3100
400;ML_RM_047;200.00;3000
400;MR516101023;0.00;3100
400;MR412142;0.00;3100
400;MR700018;0.00;3100
400;MR-MD-FT2-ART1;0.00;3100
400;MR516122023;0.00;3100
400;MR516122010;0.00;3100
400;MR516122005;0.00;3100
400;MR516185;0.00;3100
400;ML_RM_048;600.00;3000
400;MR412142;0.00;3100
400;MR516130;0.00;3100
400;MR516101014;0.00;3100
400;MR516101025;0.00;3100
400;ML_RM_049;550.00;3000
400;MR516112025;0.00;3100
400;MR516122011;0.00;3100
400;MR516185;0.00;3100
400;MR516206009;0.00;3100
400;MR412310;0.00;3100
400;MR516130;0.00;3100
400;MR311121;0.00;3100
400;ML_RM_050;600.00;3000
400;MR516101015;0.00;3100
400;MR516122011;0.00;3100
400;MR516120020;0.00;3100
400;MR516186;0.00;3100
400;MR412310;0.00;3100
400;MR516112001;0.00;3100
400;MR516134;0.00;3100
400;ML_RM_051;1400.00;3000
400;MR516101015;0.00;3100
400;MR516130;0.00;3100
400;MR311121;0.00;3100
400;MR516186;0.00;3100
400;MR516101010;0.00;3100
400;MR516122011;0.00;3100
400;MR412310;0.00;3100
400;ML_RM_052;1500.00;3000
400;MR516101015;0.00;3100
400;MR311122;0.00;3100
400;MR516187;0.00;3100
400;MR516112002;0.00;3100
400;MR516122011;0.00;3100
400;MR516120021;0.00;3100
400;MR516206001;0.00;3100
400;MR412310;0.00;3100
400;ML_RM_053;400.00;3000
400;MR516130;0.00;3100
400;MR516101016;0.00;3100
400;MR311122;0.00;3100
400;MR516187;0.00;3100
400;MR516112003;0.00;3100
400;MR516122012;0.00;3100
400;MR412310;0.00;3100
400;MR516112024;0.00;3100
400;ML_RM_054;500.00;3000
400;MR516101016;0.00;3100
400;MR516206001;0.00;3100
400;MR516112004;0.00;3100
400;MR516122012;0.00;3100
400;MR412311;0.00;3100
400;MR516131;0.00;3100
400;MR311123;0.00;3100
400;MR516101016;0.00;3100
400;MR516101013;0.00;3100
400;MR412311;0.00;3100
400;MR516112003;0.00;3100
400;MR516101017;0.00;3100
400;MR516122012;0.00;3100
400;MR516120025;0.00;3100
400;ML_RM_055;450.00;3000
400;MR516131;0.00;3100
400;MR412311;0.00;3100
400;MR311123;0.00;3100
400;MR516122012;0.00;3100
400;MR516101017;0.00;3100
400;MR516112005;0.00;3100
400;MR315320;0.00;3100
400;ML_RM_056;200.00;3000
400;MR412311;0.00;3100
400;MR516122013;0.00;3100
400;MR311124;0.00;3100
400;MR516165;0.00;3100
400;MR516112006;0.00;3100
400;MR516112001;0.00;3100
400;MR516206001;0.00;3100
400;MR516101017;0.00;3100
400;MR516131;0.00;3100
400;ML_RM_058;250.00;3000
400;MR311512;0.00;3100
400;MR516112007;0.00;3100
400;MR311124;0.00;3100
400;MR516206002;0.00;3100
400;MR516101018;0.00;3100
400;MR516122013;0.00;3100
400;ML_RM_059;400.00;3000
400;MR516120004;0.00;3100
400;MR320212;0.00;3100
400;MR516131;0.00;3100
400;MR311125;0.00;3100
400;MR516206002;0.00;3100
400;MR516112008;0.00;3100
400;ML_RM_060;200.00;3000
400;MR516101018;0.00;3100
400;MR412311;0.00;3100
400;MR319112;0.00;3100
400;MR516122013;0.00;3100
400;MR516101023;0.00;3100
400;MR516218;0.00;3100
400;MR311125;0.00;3100
400;MR516206003;0.00;3100
400;ML_RM_061;150.00;3000
400;MR516101018;0.00;3100
400;MR516120002;0.00;3100
400;MR516122017;0.00;3100
400;MR516112009;0.00;3100
400;MR311126;0.00;3100
400;ML_RM_062;180.00;3000
400;MR516218;0.00;3100
400;MR516206003;0.00;3100
400;MR516101019;0.00;3100
400;MR516122013;0.00;3100
400;MR412411;0.00;3100
400;MR516120023;0.00;3100
400;MR516148;0.00;3100
400;MR516112010;0.00;3100
400;ML_RM_063;300.00;3000
400;MR311126;0.00;3100
400;MR516101019;0.00;3100
400;MR516206004;0.00;3100
400;MR516206003;0.00;3100
400;MR516120006;0.00;3100
400;MR516112011;0.00;3100
400;MR516122014;0.00;3100
400;MR412411;0.00;3100
400;MR516218;0.00;3100
400;ML_RM_064;300.00;3000
400;MR311127;0.00;3100
400;MR516101019;0.00;3100
400;MR311121;0.00;3100
400;MR516122002;0.00;3100
400;MR516206004;0.00;3100
400;MR516112012;0.00;3100
400;MR516122014;0.00;3100
400;MR412411;0.00;3100
400;ML_RM_065;300.00;3000
400;MR311127;0.00;3100
400;MR516218;0.00;3100
400;MR516101020;0.00;3100
400;MR516206005;0.00;3100
400;MR315231;0.00;3100
400;MR516112013;0.00;3100
400;MR516122020;0.00;3100
400;ML_RM_066;250.00;3000
400;MR516122014;0.00;3100
400;MR412411;0.00;3100
400;MR516101020;0.00;3100
400;MR516219;0.00;3100
400;MR516206005;0.00;3100
400;ML_RM_067;300.00;3000
400;MR311128;0.00;3100
400;MR700044;0.00;3100
400;MR311123;0.00;3100
400;MR516112014;0.00;3100
400;MR516122014;0.00;3100
400;MR412411;0.00;3100
400;MR516101020;0.00;3100
400;MR516219;0.00;3100
400;ML_RM_068;400.00;3000
400;MR516206006;0.00;3100
400;MR516122015;0.00;3100
400;MR311128;0.00;3100
400;MR516120014;0.00;3100
400;MR516101011;0.00;3100
400;MR516101021;0.00;3100
400;MR516219;0.00;3100
400;MR412412;0.00;3100
400;MR516112015;0.00;3100
400;ML_RM_069;400.00;3000
400;MR516122015;0.00;3100
400;MR516206006;0.00;3100
