439, 4091, 0, Texas, 2017-05-18T15:25:52.933Z, d75ac4456119
381, 4064, 0, Texas, 2017-05-18T15:25:52.935Z, d75ac4456119
382, 4070, 0, Texas, 2017-05-18T15:25:52.936Z, d75ac4456119
397, 4130, 0, Texas, 2017-05-18T15:25:58.212Z, d75ac4456119
412, 4025, 0, Texas, 2017-05-18T15:28:18.726Z, d75ac4456119
399, 4008, 0, Texas, 2017-05-18T15:28:18.728Z, d75ac4456119
384, 4009, 0, Texas, 2017-05-18T15:28:18.730Z, d75ac4456119
403, 4003, 0, Texas, 2017-05-18T15:28:18.730Z, d75ac4456119
383, 3997, 0, Texas, 2017-05-18T15:28:19.185Z, d75ac4456119
385, 3993, 0, Texas, 2017-05-18T15:28:24.308Z, d75ac4456119
384, 3978, 0, Texas, 2017-05-18T15:29:57.746Z, d75ac4456119
407, 3987, 0, Texas, 2017-05-18T15:29:57.746Z, d75ac4456119
403, 3980, 0, Texas, 2017-05-18T15:30:02.377Z, d75ac4456119
406, 3977, 0, Texas, 2017-05-18T15:30:02.377Z, d75ac4456119
398, 3977, 1, Texas, 2017-05-18T15:30:02.378Z, d75ac4456119
386, 4037, 1, Texas, 2017-05-18T15:30:02.379Z, d75ac4456119
387, 4021, 1, Texas, 2017-05-18T15:30:02.730Z, d75ac4456119
369, 4007, 1, Texas, 2017-05-18T15:30:02.737Z, d75ac4456119
387, 4040, 1, Texas, 2017-05-18T15:30:02.740Z, d75ac4456119
402, 4029, 1, Texas, 2017-05-18T15:30:02.744Z, d75ac4456119
399, 4008, 1, Texas, 2017-05-18T15:30:02.748Z, d75ac4456119
399, 3992, 1, Texas, 2017-05-18T15:30:02.750Z, d75ac4456119
411, 3985, 1, Texas, 2017-05-18T15:30:02.756Z, d75ac4456119
622, 3979, 1, Texas, 2017-05-18T15:30:02.768Z, d75ac4456119
579, 3970, 1, Texas, 2017-05-18T15:30:02.771Z, d75ac4456119
603, 4038, 1, Texas, 2017-05-18T15:30:02.774Z, d75ac4456119
599, 4021, 1, Texas, 2017-05-18T15:30:02.777Z, d75ac4456119
606, 4009, 1, Texas, 2017-05-18T15:30:02.781Z, d75ac4456119
627, 3997, 1, Texas, 2017-05-18T15:30:02.786Z, d75ac4456119
614, 3985, 1, Texas, 2017-05-18T15:30:02.838Z, d75ac4456119
630, 4021, 1, Texas, 2017-05-18T15:30:02.844Z, d75ac4456119
617, 4007, 1, Texas, 2017-05-18T15:30:02.844Z, d75ac4456119
569, 3998, 1, Texas, 2017-05-18T15:30:02.844Z, d75ac4456119
602, 3990, 1, Texas, 2017-05-18T15:30:02.845Z, d75ac4456119
534, 3982, 1, Texas, 2017-05-18T15:30:02.845Z, d75ac4456119
572, 3961, 1, Texas, 2017-05-18T15:30:02.846Z, d75ac4456119
591, 3965, 1, Texas, 2017-05-18T15:30:02.846Z, d75ac4456119
624, 3972, 1, Texas, 2017-05-18T15:30:02.846Z, d75ac4456119
624, 3958, 1, Texas, 2017-05-18T15:30:03.296Z, d75ac4456119
0, 3842, 0, Texas, 2017-05-18T15:30:03.304Z, e0851cf4be8c
524, 3996, 1, Kev, 2017-05-18T15:34:05.203Z, d75ac4456119
501, 3988, 1, Kev, 2017-05-18T15:36:05.792Z, d75ac4456119
395, 4176, 0, Texas, 2017-05-18T15:47:24.157Z, e0851cf4be8c
370, 4164, 0, Texas, 2017-05-18T15:47:24.608Z, e0851cf4be8c
407, 4165, 0, Texas, 2017-05-18T15:47:24.974Z, e0851cf4be8c
405, 4199, 0, Texas, 2017-05-18T15:47:25.965Z, e0851cf4be8c
384, 4185, 0, Texas, 2017-05-18T15:47:25.965Z, e0851cf4be8c
412, 4173, 0, Texas, 2017-05-18T15:47:26.270Z, e0851cf4be8c
414, 4172, 0, Texas, 2017-05-18T15:47:29.189Z, e0851cf4be8c
392, 4228, 0, Texas, 2017-05-18T15:47:30.249Z, e0851cf4be8c
394, 4205, 0, Texas, 2017-05-18T15:47:30.300Z, e0851cf4be8c
400, 4192, 0, Texas, 2017-05-18T15:47:30.301Z, e0851cf4be8c
393, 4183, 1, Texas, 2017-05-18T15:47:30.301Z, e0851cf4be8c
378, 4168, 1, Texas, 2017-05-18T15:47:30.305Z, e0851cf4be8c
392, 4164, 1, Texas, 2017-05-18T15:47:30.306Z, e0851cf4be8c
362, 4219, 1, Texas, 2017-05-18T15:47:30.306Z, e0851cf4be8c
403, 4200, 1, Texas, 2017-05-18T15:47:30.308Z, e0851cf4be8c
389, 4212, 1, Texas, 2017-05-18T15:47:31.676Z, e0851cf4be8c
375, 4203, 1, Texas, 2017-05-18T15:47:31.711Z, e0851cf4be8c
383, 4227, 1, Texas, 2017-05-18T15:47:32.170Z, e0851cf4be8c
387, 4208, 1, Texas, 2017-05-18T15:47:32.171Z, e0851cf4be8c
379, 4190, 1, Texas, 2017-05-18T15:47:32.565Z, e0851cf4be8c
406, 4177, 1, Texas, 2017-05-18T15:47:34.227Z, e0851cf4be8c
400, 4168, 1, Texas, 2017-05-18T15:47:39.247Z, e0851cf4be8c
395, 4161, 1, Texas, 2017-05-18T15:47:51.530Z, e0851cf4be8c
399, 4152, 1, Texas, 2017-05-18T15:47:51.537Z, e0851cf4be8c
414, 4149, 1, Texas, 2017-05-18T15:47:51.542Z, e0851cf4be8c
394, 4144, 1, Texas, 2017-05-18T15:47:51.548Z, e0851cf4be8c
404, 4142, 1, Texas, 2017-05-18T15:47:51.560Z, e0851cf4be8c
401, 4138, 1, Texas, 2017-05-18T15:47:51.603Z, e0851cf4be8c
387, 4162, 1, Texas, 2017-05-18T15:47:51.608Z, e0851cf4be8c
373, 4151, 1, Texas, 2017-05-18T15:47:51.610Z, e0851cf4be8c
383, 4146, 1, Texas, 2017-05-18T15:47:51.614Z, e0851cf4be8c
381, 4144, 1, Texas, 2017-05-18T15:47:51.615Z, e0851cf4be8c
399, 4154, 1, Texas, 2017-05-18T15:47:51.616Z, e0851cf4be8c
398, 4165, 1, Texas, 2017-05-18T15:47:51.617Z, e0851cf4be8c
388, 4173, 1, Texas, 2017-05-18T15:47:51.616Z, e0851cf4be8c
602, 4155, 1, Texas, 2017-05-18T15:47:51.623Z, e0851cf4be8c
414, 4157, 1, Texas, 2017-05-18T15:47:51.618Z, e0851cf4be8c
411, 4161, 1, Texas, 2017-05-18T15:47:51.618Z, e0851cf4be8c
587, 4141, 1, Texas, 2017-05-18T15:47:51.627Z, e0851cf4be8c
584, 4148, 1, Texas, 2017-05-18T15:47:51.627Z, e0851cf4be8c
624, 4143, 1, Texas, 2017-05-18T15:47:51.628Z, e0851cf4be8c
604, 4145, 1, Texas, 2017-05-18T15:47:51.627Z, e0851cf4be8c
600, 4140, 1, Texas, 2017-05-18T15:47:51.682Z, e0851cf4be8c
585, 4140, 1, Texas, 2017-05-18T15:47:51.683Z, e0851cf4be8c
585, 4139, 1, Texas, 2017-05-18T15:47:51.684Z, e0851cf4be8c
584, 4137, 1, Texas, 2017-05-18T15:47:51.685Z, e0851cf4be8c
598, 4143, 1, Texas, 2017-05-18T15:47:51.736Z, e0851cf4be8c
604, 4174, 1, Texas, 2017-05-18T15:47:51.738Z, e0851cf4be8c
591, 4166, 1, Texas, 2017-05-18T15:47:51.739Z, e0851cf4be8c
583, 4159, 1, Texas, 2017-05-18T15:47:51.739Z, e0851cf4be8c
598, 4151, 1, Texas, 2017-05-18T15:47:51.739Z, e0851cf4be8c
0, 4129, 0, Texas, 2017-05-18T15:47:51.741Z, da84577a660d
602, 4138, 1, Texas, 2017-05-18T15:47:51.738Z, e0851cf4be8c
521, 4140, 1, Joe, 2017-05-18T15:47:58.883Z, e0851cf4be8c
539, 4217, 1, Joe, 2017-05-18T15:47:59.155Z, e0851cf4be8c
513, 4205, 1, Joe, 2017-05-18T15:47:59.434Z, e0851cf4be8c
497, 4191, 1, Joe, 2017-05-18T15:47:59.840Z, e0851cf4be8c
529, 4175, 1, Joe, 2017-05-18T15:48:00.144Z, e0851cf4be8c
530, 4167, 1, Joe, 2017-05-18T15:48:00.479Z, e0851cf4be8c
532, 4158, 1, Joe, 2017-05-18T15:48:00.900Z, e0851cf4be8c
533, 4186, 1, Joe, 2017-05-18T15:48:01.199Z, e0851cf4be8c
509, 4175, 1, Joe, 2017-05-18T15:48:01.539Z, e0851cf4be8c
720, 4165, 1, Joe, 2017-05-18T15:48:03.708Z, e0851cf4be8c
707, 4141, 1, Joe, 2017-05-18T15:48:03.915Z, e0851cf4be8c
699, 4138, 1, Joe, 2017-05-18T15:48:04.163Z, e0851cf4be8c
710, 4135, 1, Joe, 2017-05-18T15:48:04.466Z, e0851cf4be8c
728, 4132, 1, Joe, 2017-05-18T15:48:04.670Z, e0851cf4be8c
711, 4130, 1, Joe, 2017-05-18T15:48:05.930Z, e0851cf4be8c
701, 4131, 1, Joe, 2017-05-18T15:48:10.466Z, e0851cf4be8c
697, 4131, 1, Joe, 2017-05-18T15:48:11.019Z, e0851cf4be8c
675, 4186, 1, Joe, 2017-05-18T15:48:11.020Z, e0851cf4be8c
686, 4177, 1, Joe, 2017-05-18T15:48:11.020Z, e0851cf4be8c
694, 4165, 1, Joe, 2017-05-18T15:48:11.022Z, e0851cf4be8c
705, 4157, 1, Joe, 2017-05-18T15:48:11.022Z, e0851cf4be8c
677, 4153, 1, Joe, 2017-05-18T15:48:21.109Z, e0851cf4be8c
696, 4147, 1, Joe, 2017-05-18T15:48:40.689Z, e0851cf4be8c
707, 4145, 1, Joe, 2017-05-18T15:49:02.478Z, e0851cf4be8c
680, 4139, 1, Joe, 2017-05-18T15:49:02.479Z, e0851cf4be8c
689, 4125, 1, Joe, 2017-05-18T15:49:02.482Z, e0851cf4be8c
700, 4128, 1, Joe, 2017-05-18T15:49:02.480Z, e0851cf4be8c
688, 4131, 1, Joe, 2017-05-18T15:49:02.479Z, e0851cf4be8c
681, 4127, 1, Joe, 2017-05-18T15:49:02.480Z, e0851cf4be8c
665, 4124, 1, Joe, 2017-05-18T15:49:02.582Z, e0851cf4be8c
680, 4125, 1, Joe, 2017-05-18T15:49:02.584Z, e0851cf4be8c
679, 4122, 1, Joe, 2017-05-18T15:49:02.585Z, e0851cf4be8c
689, 4164, 1, Joe, 2017-05-18T15:49:02.589Z, e0851cf4be8c
684, 4135, 1, Joe, 2017-05-18T15:49:02.588Z, e0851cf4be8c
671, 4123, 1, Joe, 2017-05-18T15:49:02.588Z, e0851cf4be8c
677, 4156, 1, Joe, 2017-05-18T15:49:02.590Z, e0851cf4be8c
687, 4143, 1, Joe, 2017-05-18T15:49:02.591Z, e0851cf4be8c
692, 4149, 1, Joe, 2017-05-18T15:49:02.591Z, e0851cf4be8c
694, 4141, 1, Joe, 2017-05-18T15:49:02.592Z, e0851cf4be8c
